newid,newtime,dgsvi,dlnprice,vol,dunc
Aluminium,2013/6/21,-9.690001,-3.445007,1.150347,-27.68695
Aluminium,2013/6/28,-1.530001,0.8900146,0.5323519,5.15281
Aluminium,2013/7/5,-0.7199993,0.30896,1.037106,-4.422519
Aluminium,2013/7/12,0.539999,0.5871582,0.5827845,28.59949
Aluminium,2013/7/19,0.5400009,-1.630188,0.9502988,-8.944893
Aluminium,2013/7/26,-1.889999,0.0849609,0.5501921,-28.63475
Aluminium,2013/8/2,-1.550001,0.296875,0.509576,8.218655
Aluminium,2013/8/9,3.280001,0.3803711,0.6005985,-3.755915
Aluminium,2013/8/16,0,0.4208984,0.513825,14.06538
Aluminium,2013/8/23,6.559999,-1.282349,0.6494464,-21.07947
Aluminium,2013/8/30,2.870001,-1.586731,0.7285656,31.4234
Aluminium,2013/9/6,0.1599998,2.335632,0.7024782,-2.811736
Aluminium,2013/9/13,3.18,0.5054321,0.3289095,-16.29308
Aluminium,2013/9/20,3.18,0.0840454,0.8784576,13.69717
Aluminium,2013/9/27,3.709999,-0.5613403,0.4835807,-8.989718
Aluminium,2013/10/4,-10.25,0.8966064,0.5867689,-22.58849
Aluminium,2013/10/11,2,1.247437,0.3395343,35.50354
Aluminium,2013/10/18,0.5,-1.35907,0.4741211,-26.47327
Aluminium,2013/10/25,2.5,1.634155,0.5284551,32.75666
Aluminium,2013/11/1,-7.059999,-1.355286,0.5297389,-9.809703
Aluminium,2013/11/8,10.08,-0.8670044,0.293452,-30.99286
Aluminium,2013/11/15,-3.360001,-0.7047729,0.2669559,10.42027
Aluminium,2013/11/22,3.920002,-0.5388794,0.5792524,2.051765
Aluminium,2013/11/29,-3.920002,0.2272339,0.7972774,15.06283
Aluminium,2013/12/6,-6.039999,1.576599,0.7088905,17.32345
Aluminium,2013/12/13,-8.880001,0.5432129,0.1546253,-42.92459
Aluminium,2013/12/20,-5.55,0.013916,0.1867084,5.136399
Aluminium,2013/12/27,-5.549999,0.3051147,1.020001,44.43041
Aluminium,2014/1/3,8.259999,-1.366272,0.2990969,-24.99068
Aluminium,2014/1/10,7.6,0.0560913,0.8406405,-1.997501
Aluminium,2014/1/17,0,0.8382568,0.9742502,8.339089
Aluminium,2014/1/24,4,0.1945801,0.3324735,-14.2163
Aluminium,2014/1/31,-3.6,-1.906433,0.8533201,15.75152
Aluminium,2014/2/7,7.4,-0.1983032,0.7530727,-12.65973
Aluminium,2014/2/14,2.650002,1.687317,0.5785516,20.95389
Aluminium,2014/2/21,5.829998,1.714172,1.034734,-37.18574
Aluminium,2014/2/28,-6.889999,-1.102539,0.3572265,37.12758
Aluminium,2014/3/7,-0.75,2.679932,1.541794,22.32004
Aluminium,2014/3/14,0,-0.8128052,0.3710848,-57.26649
Aluminium,2014/3/21,0,0.9476318,0.3067365,18.61518
Aluminium,2014/3/28,2.040001,2.580261,0.3288217,-8.691305
Aluminium,2014/4/4,-2.940001,-1.268494,0.4824134,44.17992
Aluminium,2014/4/11,-6.9,2.248474,1.156462,-18.97596
Aluminium,2014/4/18,-8.280001,-2.128845,1.627275,-30.96443
Aluminium,2014/4/25,12.88,1.829346,1.056324,61.20446
Aluminium,2014/5/2,-2.780001,-1.550842,0.4334371,-31.70365
Aluminium,2014/5/9,1.24,0.2645264,1.066074,-25.97746
Aluminium,2014/5/16,4.960001,0.2902222,0.3420515,2.093095
Aluminium,2014/5/23,4.959999,3.672546,0.910916,53.39135
Aluminium,2014/5/30,-2.48,0.2536011,0.3275362,-57.56721
Aluminium,2014/6/6,-3.620001,0.807251,1.12512,18.8197
Aluminium,2014/6/13,-5.199999,-0.5037842,0.3826394,-22.6524
Aluminium,2014/6/20,-8.84,0.9049683,0.3626716,-7.013962
Aluminium,2014/6/27,2.08,-0.3509521,0.3234294,10.69097
Aluminium,2014/7/4,-5.72,-0.0753784,0.1698607,-7.667112
Aluminium,2014/7/11,-0.2600002,-0.6176147,0.2219566,4.48842
Aluminium,2014/7/18,2.86,-0.62146,0.2153249,-3.551361
Aluminium,2014/7/25,-2.599999,1.163696,0.2894734,2.081645
Aluminium,2014/8/1,3.44,-1.265564,0.5097731,27.86176
Aluminium,2014/8/8,1.9,1.013733,0.2663658,-17.5154
Aluminium,2014/8/15,-0.3799992,1.290161,0.3233899,-5.675828
Aluminium,2014/8/22,7.219999,2.48291,0.5698887,6.447303
Aluminium,2014/8/29,-0.3799992,1.911926,0.6400277,6.59481
Aluminium,2014/9/5,4.76,1.442627,0.2036396,-8.73158
Aluminium,2014/9/12,-1.530001,-0.4589233,0.5387637,31.93263
Aluminium,2014/9/19,2.550001,-1.772888,0.8970225,-35.77163
Aluminium,2014/9/26,-2.040001,-0.6503906,0.4263074,15.46319
Aluminium,2014/10/3,-2.58,0.4099731,0.8918408,36.66065
Aluminium,2014/10/10,2.25,0.156311,0.8811972,-13.07284
Aluminium,2014/10/17,0.4500008,0.395752,0.1703292,-44.94349
Aluminium,2014/10/24,0,0,0,0.8703232
Aluminium,2014/10/31,-3.6,-0.239624,0.520715,-0.1092821
Aluminium,2014/11/7,8.460001,-1.840271,1.547108,38.34659
Aluminium,2014/11/14,-1.620003,-1.155212,0.2279606,-31.1812
Aluminium,2014/11/21,-1.619999,-0.1237183,0.4654229,-3.500575
Aluminium,2014/11/28,0,-0.6331787,0.5147128,52.60767
Aluminium,2014/12/5,-6.119999,-1.657715,0.4870087,-11.3984
Aluminium,2014/12/12,-8.400002,1.993408,1.221239,-40.06147
Aluminium,2014/12/19,-7.699999,-2.76886,0.6775854,44.57386
Aluminium,2014/12/26,-1.05,-5.670776,1.067204,-35.66854
Aluminium,2015/1/2,3.17,-3.46283,1.332014,6.56693
Aluminium,2015/1/9,5.78,2.157715,1.087232,55.84489
Aluminium,2015/1/16,1.02,1.763245,1.183039,2.140772
Aluminium,2015/1/23,3.74,-0.7828369,1.508133,-63.75517
Aluminium,2015/1/30,0,-0.5162354,1.958819,76.00813
Aluminium,2015/2/6,5.959999,-0.7930908,0.2211107,-81.6189
Aluminium,2015/2/13,-3.519999,-0.2199097,0.5267849,12.04441
Aluminium,2015/2/20,4.4,-0.3859863,1.077878,4.217047
Aluminium,2015/2/27,0.4400005,-0.4707031,0.6257759,-24.79803
Aluminium,2015/3/6,4.959999,-0.138916,0.1258324,2.79313
Aluminium,2015/3/13,-3,-1.653381,0.4355424,48.50964
Aluminium,2015/3/20,-0.5,-3.698486,1.665839,43.2575
Aluminium,2015/3/27,-4,0.6866455,1.603879,-45.37258
Aluminium,2015/4/3,-6.219999,3.47699,1.081409,-30.39691
Aluminium,2015/4/10,10.92,0.0703125,0.1993336,-21.39411
Aluminium,2015/4/17,3.119999,0.9093018,0.588342,23.36909
Aluminium,2015/4/24,3.119999,0.3197632,0.9780309,-12.0933
Aluminium,2015/5/1,-15.12,0.2218628,0.2193274,-10.91949
Aluminium,2015/5/8,8.68,-1.394714,1.646058,139.4706
Aluminium,2015/5/15,-1.24,-2.618286,3.4715,-10.08604
Aluminium,2015/5/22,12.4,-0.8106689,0.4704078,-118.4309
Aluminium,2015/5/29,-4.959999,-0.758667,0.4760556,29.88647
Aluminium,2015/6/5,-2.52,1.338379,2.438153,42.0559
Aluminium,2015/6/12,-4.59,2.722717,0.8840603,-20.13392
Aluminium,2015/6/19,0.5100002,-0.7197876,1.386783,-37.02701
Aluminium,2015/6/26,-14.28,0.6916504,0.3046329,-26.5545
Aluminium,2015/7/3,3.440001,-0.748291,0.3823495,8.335286
